1,1.20,1.00,75,160,0,0,0,0,50,70,4,5,200,4,MK3AssaultRifle
1,0.60,4.50,12,70,115,3,15,50,25,0,4,0,200,2,Blaster
1,0.50,0.50,15,5,0,0,0,0,6,0,2,3,200,4,Dartgun
1,0.15,0.15,10,22,0,0,0,0,35,32,2,3,200,4,Flechette
1,0.80,4.00,18,108,180,5,30,100,35,0,6,0,200,2,IonBeam
1,0.80,0.80,200,0,0,0,0,0,80,0,5,0,2,1,LaserRapier
1,0.75,0.75,15,0,0,0,0,0,40,0,3,0,2,1,LeadPipe
1,0.80,0.80,60,85,0,0,0,0,30,25,4,5,200,4,Magnum2100
1,0.60,0.60,45,85,0,0,0,0,100,120,4,5,200,3,Magpulse
1,0.50,0.50,20,30,0,0,0,0,20,30,2,3,200,4,Pistol
1,1.20,1.20,35,350,0,13,130,0,0,0,3,0,200,5,PlasmaRifle
1,0.90,0.90,200,0,0,0,0,0,35,0,6,0,200,4,Railgun
1,0.50,0.50,6,0,0,0,0,0,0,0,2,0,200,4,Riotgun
1,0.15,0.15,35,0,0,0,0,0,40,0,2,0,200,4,Skorpion
1,1.10,5.00,6,36,60,2,8,24,25,0,3,0,200,2,SparqBeam
1,0.75,0.75,2,15,0,3,30,0,0,0,3,0,15,5,Stungun
