constIndex:574|prop_healingbed|localPosition.x:-0005.03700|localPosition.y:0001.28000|localPosition.z:0015.48000|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:541|prop_chair02|localPosition.x:-0027.63400|localPosition.y:0002.58100|localPosition.z:0045.15500|localRotation.x:-0000.12277|localRotation.y:0000.69649|localRotation.z:0000.69624|localRotation.w:0000.12281|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:557|prop_desk01|localPosition.x:-0027.64438|localPosition.y:0002.57800|localPosition.z:0043.03700|localRotation.x:-0000.50000|localRotation.y:-0000.50000|localRotation.z:-0000.50000|localRotation.w:0000.50000|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:597|trigger_ladder|localPosition.x:0005.12100|localPosition.y:0001.31600|localPosition.z:0042.03000|localRotation.x:0000.00000|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0001.00000|localScale.x:0001.00000|localScale.y:0002.40000|localScale.z:0000.16000
constIndex:663|decal_bloodfonth|localPosition.x:0011.17200|localPosition.y:0005.58675|localPosition.z:-0027.64960|localRotation.x:0000.39345|localRotation.y:0000.39345|localRotation.z:0000.58753|localRotation.w:-0000.58753|localScale.x:0000.25000|localScale.y:0000.25000|localScale.z:0000.25000
constIndex:661|decal_bloodfonte|localPosition.x:0011.17700|localPosition.y:0005.75152|localPosition.z:-0028.03921|localRotation.x:0000.39345|localRotation.y:0000.39345|localRotation.z:0000.58753|localRotation.w:-0000.58753|localScale.x:0000.25000|localScale.y:0000.25000|localScale.z:0000.25000
constIndex:664|decal_bloodfontr|localPosition.x:0011.17100|localPosition.y:0005.90149|localPosition.z:-0028.43491|localRotation.x:0000.39345|localRotation.y:0000.39345|localRotation.z:0000.58753|localRotation.w:-0000.58753|localScale.x:0000.25000|localScale.y:0000.25000|localScale.z:0000.25000
constIndex:661|decal_bloodfonte (1)|localPosition.x:0011.17700|localPosition.y:0006.12245|localPosition.z:-0028.93897|localRotation.x:0000.39345|localRotation.y:0000.39345|localRotation.z:0000.58753|localRotation.w:-0000.58753|localScale.x:0000.25000|localScale.y:0000.25000|localScale.z:0000.25000
constIndex:591|prop_xray|localPosition.x:0027.22600|localPosition.y:0000.00200|localPosition.z:-0010.08352|localRotation.x:0000.00000|localRotation.y:0000.70711|localRotation.z:0000.70711|localRotation.w:0000.00000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:556|prop_cyberport|localPosition.x:0030.66000|localPosition.y:0001.86700|localPosition.z:-0014.07600|localRotation.x:-0000.50000|localRotation.y:0000.50000|localRotation.z:0000.50000|localRotation.w:0000.50000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
